accession,species,ncbi_organism_name
GCF_016755955.1,Mycobacterium intracellulare,Mycobacterium paraintracellulare
GCF_000709305.1,Mycobacterium intracellulare,Mycobacterium sp. TKK-01-0059
GCF_000524015.1,Mycobacterium intracellulare,Mycobacterium intracellulare MIN_052511_1280
GCF_016587715.1,Mycobacterium intracellulare,Mycobacterium paraintracellulare
GCF_016756195.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_016587635.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_002219245.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_020217905.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_016756075.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_000418535.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. yongonense 05-1390
GCF_002927295.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. yongonense
GCF_016587595.1,Mycobacterium intracellulare,Mycobacterium paraintracellulare
GCF_002851815.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_016756235.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_001750065.2,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_020217605.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_001307415.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_021183745.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_016587675.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_002287605.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_016756015.1,Mycobacterium intracellulare,Mycobacterium paraintracellulare
GCF_009664715.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_002240155.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_900959895.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_023278445.1,Mycobacterium intracellulare,Mycobacterium intracellulare
GCF_020412425.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_002101575.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_020412405.1,Mycobacterium intracellulare,Mycobacterium intracellulare subsp. chimaera
GCF_000455165.1,Mycobacterium iranicum,Mycolicibacterium iranicum UM_TJL
GCF_002101705.1,Mycobacterium iranicum,Mycolicibacterium iranicum
GCF_026805495.1,Mycobacterium iranicum,Mycolicibacterium iranicum
GCF_001650495.1,Mycobacterium iranicum_A,Mycolicibacterium iranicum
GCF_014190915.1,Mycobacterium iranicum_B,Mycolicibacterium iranicum
GCF_002085625.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_020341475.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002705785.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920805.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_001632965.1,Mycobacterium kansasii,Mycobacterium kansasii
GCA_002003585.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920845.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_000157895.3,Mycobacterium kansasii,Mycobacterium kansasii ATCC 12478
GCA_009827645.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002085795.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_000715375.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002705865.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002085835.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_015471985.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002085815.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920795.1,Mycobacterium kansasii,Mycobacterium kansasii
GCA_014701265.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920655.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920775.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920675.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920705.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920735.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920815.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_021183865.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_900565985.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_000523615.1,Mycobacterium kansasii,Mycobacterium kansasii 662
GCF_900566155.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002086895.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_021183685.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920665.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920875.1,Mycobacterium kansasii,Mycobacterium kansasii
GCA_000524095.1,Mycobacterium kansasii,Mycobacterium kansasii 824
GCF_002705825.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002085775.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002085645.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_002920755.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_900565995.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_021183705.1,Mycobacterium kansasii,Mycobacterium kansasii
GCA_002003625.1,Mycobacterium kansasii,Mycobacterium kansasii
GCF_026011875.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012415.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026011835.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026011895.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012495.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026011855.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012435.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012515.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_021654635.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026011915.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012555.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012455.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_022179425.1,Mycobacterium kiyosense,Mycobacterium sp. 20KCMC460
GCF_026011935.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012475.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_026012535.1,Mycobacterium kiyosense,Mycobacterium kiyosense
GCF_001050035.1,Mycobacterium komanii,Mycolicibacterium komanii
GCF_025822605.1,Mycobacterium komossense,Mycolicibacterium komossense
GCF_002104795.1,Mycobacterium koreense,Mycolicibacillus koreensis
GCA_001722415.1,Mycobacterium koreense,Mycolicibacillus koreensis
GCF_010731835.1,Mycobacterium koreense,Mycolicibacillus koreensis
GCF_025822715.1,Mycobacterium koreense,Mycolicibacillus koreensis
GCF_015689175.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_025821825.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_002101745.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_010723135.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_014263315.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_001667525.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_001673455.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_014263335.1,Mycobacterium kubicae,Mycobacterium kubicae
GCF_001679965.1,Mycobacterium kumamotonense,Mycolicibacter kumamotonensis
GCF_010093495.1,Mycobacterium kumamotonense,Mycolicibacter kumamotonensis
GCF_002086285.1,Mycobacterium kumamotonense,Mycolicibacter kumamotonensis
GCA_000240505.2,Mycobacterium kumamotonense,Mycobacterium avium subsp. avium Env 77
GCF_001044245.1,Mycobacterium kyogaense,Mycolicibacterium obuense
GCF_943913265.1,Mycobacterium kyogaense,Mycolicibacterium obuense
GCF_004359005.1,Mycobacterium kyogaense,Mycolicibacterium obuense
GCF_000974925.2,Mycobacterium kyogaense,Mycolicibacterium obuense
GCF_003254575.1,Mycobacterium kyogaense,Mycobacterium kyogaense
GCA_001905565.1,Mycobacterium kyogaense,Mycobacterium sp. SWH-M1
GCF_001439515.1,Mycobacterium kyorinense,Mycobacterium kyorinense
GCF_000759695.1,Mycobacterium kyorinense,Mycobacterium kyorinense
GCF_002101735.1,Mycobacterium kyorinense,Mycobacterium kyorinense
GCF_001672775.1,Mycobacterium kyorinense_A,Mycobacterium kyorinense
GCF_010731535.1,Mycobacterium lacus,Mycobacterium lacus
GCF_002102215.1,Mycobacterium lacus,Mycobacterium lacus
GCF_025821645.1,Mycobacterium lacus,Mycobacterium lacus
GCF_021916785.1,Mycobacterium lacusdiani,Mycolicibacterium lacusdiani
GCA_900089125.1,Mycobacterium lehmannii,Mycolicibacterium acapulense
GCA_001500105.1,Mycobacterium lehmannii,Mycolicibacterium acapulense
GCF_001499925.1,Mycobacterium lehmannii,Mycobacterium lehmannii
GCF_002245535.1,Mycobacterium lehmannii,Mycobacterium lehmannii
GCA_001500085.1,Mycobacterium lehmannii,Mycolicibacterium acapulense
GCA_001499915.1,Mycobacterium lehmannii,Mycolicibacterium acapulense
GCF_001373395.1,Mycobacterium lentiflavum,Mycobacterium lentiflavum
GCF_022374895.2,Mycobacterium lentiflavum,Mycobacterium lentiflavum
GCF_000195855.1,Mycobacterium leprae,Mycobacterium leprae TN
GCF_001648835.1,Mycobacterium leprae,Mycobacterium leprae 7935681
GCA_000026685.1,Mycobacterium leprae,Mycobacterium leprae Br4923
GCF_003253775.1,Mycobacterium leprae,Mycobacterium leprae
GCF_001653495.1,Mycobacterium leprae,Mycobacterium leprae 3125609
GCF_003584725.1,Mycobacterium leprae,Mycobacterium leprae Kyoto-2
GCF_000966355.1,Mycobacterium lepromatosis,Mycobacterium lepromatosis
GCF_000975265.2,Mycobacterium lepromatosis,Mycobacterium lepromatosis
GCF_004366555.1,Mycobacterium litorale,Mycolicibacterium litorale
GCF_025823345.1,Mycobacterium litorale,Mycolicibacterium litorale
GCF_010731695.1,Mycobacterium litorale,Mycolicibacterium litorale
GCA_002007745.1,Mycobacterium litorale_A,Mycolicibacterium litorale
GCF_014218295.1,Mycobacterium litorale_B,Mycolicibacterium litorale
GCF_025331195.1,Mycobacterium llatzerense,Mycolicibacterium llatzerense
GCA_021733065.1,Mycobacterium llatzerense,Mycolicibacterium llatzerense
GCF_000878195.1,Mycobacterium llatzerense,Mycolicibacterium llatzerense
GCA_002863165.1,Mycobacterium llatzerense,Mycobacterium sp.
GCF_001865165.1,Mycobacterium llatzerense,Mycolicibacterium llatzerense
GCA_000746215.1,Mycobacterium llatzerense,Mycobacterium sp. UNC280MFTsu5.1
GCF_025331235.1,Mycobacterium llatzerense,Mycolicibacterium llatzerense
GCF_025823135.1,Mycobacterium longobardum,Mycolicibacter longobardus
GCF_002102265.1,Mycobacterium longobardum,Mycolicibacter longobardus
GCF_017876775.1,Mycobacterium lutetiense,Mycolicibacterium lutetiense
GCF_010729665.1,Mycobacterium madagascariense,Mycolicibacterium madagascariense
GCF_025822085.1,Mycobacterium madagascariense,Mycolicibacterium madagascariense
GCF_000612825.1,Mycobacterium mageritense,Mycolicibacterium mageritense DSM 44476 = CIP 104973
GCF_010727475.1,Mycobacterium mageritense,Mycolicibacterium mageritense
GCF_008015735.1,Mycobacterium mageritense,Mycolicibacterium mageritense
GCA_001907615.1,Mycobacterium mageritense,Mycobacterium sp. SWH-M3
GCF_030296355.1,Mycobacterium mageritense,Mycolicibacterium mageritense
GCF_020884715.1,Mycobacterium mageritense,Mycolicibacterium mageritense
GCF_020907445.1,Mycobacterium mageritense,Mycolicibacterium mageritense
GCA_016995035.1,Mycobacterium mageritense,Mycobacterium sp. DSM 3803
GCF_001050015.1,Mycobacterium malmesburyense,Mycolicibacterium malmesburyense
GCF_022558505.1,Mycobacterium malmoense,Mycobacterium malmoense
GCF_019645855.1,Mycobacterium malmoense,Mycobacterium malmoense
GCF_002086305.1,Mycobacterium malmoense,Mycobacterium malmoense
GCF_001870845.1,Mycobacterium malmoense,Mycobacterium malmoense
GCA_027529605.1,Mycobacterium manitobense,Mycobacterium sp. CPCC 205372
GCF_025821665.1,Mycobacterium manitobense,[Mycobacterium] manitobense
GCF_030519285.1,Mycobacterium manitobense,Mycolicibacterium sp. KC 300
GCF_002086335.1,Mycobacterium mantenii,Mycobacterium mantenii
GCF_010731775.1,Mycobacterium mantenii,Mycobacterium mantenii
GCF_025822645.1,Mycobacterium mantenii,Mycobacterium mantenii
GCF_001667865.1,Mycobacterium mantenii_A,Mycobacterium mantenii
GCF_001667835.1,Mycobacterium mantenii_A,Mycobacterium mantenii
GCF_001667995.1,Mycobacterium mantenii_A,Mycobacterium mantenii
GCF_001667695.1,Mycobacterium mantenii_A,Mycobacterium mantenii
GCF_016745295.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341605.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341415.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341645.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028594325.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024347175.1,Mycobacterium marinum,Mycobacterium pseudoshottsii
GCF_003391415.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341225.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431775.1,Mycobacterium marinum,Mycobacterium marinum
GCA_003431765.1,Mycobacterium marinum,Mycobacterium marinum
GCF_000723425.2,Mycobacterium marinum,Mycobacterium marinum E11
GCF_028594285.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028594415.1,Mycobacterium marinum,Mycobacterium marinum
GCF_000419335.1,Mycobacterium marinum,Mycobacterium marinum MB2
GCF_002356495.1,Mycobacterium marinum,Mycobacterium ulcerans subsp. shinshuense
GCA_022354805.1,Mycobacterium marinum,Mycobacterium liflandii
GCA_000524035.1,Mycobacterium marinum,Mycobacterium ulcerans str. Harvey
GCF_028594445.1,Mycobacterium marinum,Mycobacterium marinum
GCF_000018345.1,Mycobacterium marinum,Mycobacterium marinum M
GCF_010728525.1,Mycobacterium marinum,Mycobacterium shottsii
GCF_024341725.1,Mycobacterium marinum,Mycobacterium marinum
GCA_003609695.1,Mycobacterium marinum,Mycobacterium marinum
GCF_025821505.1,Mycobacterium marinum,Mycobacterium pseudoshottsii
GCF_002911595.1,Mycobacterium marinum,Mycobacterium marinum
GCF_002911575.1,Mycobacterium marinum,Mycobacterium marinum E11
GCF_003584745.1,Mycobacterium marinum,Mycobacterium pseudoshottsii JCM 15466
GCF_024341665.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431735.1,Mycobacterium marinum,Mycobacterium marinum
GCF_000419295.1,Mycobacterium marinum,Mycobacterium sp. 012931
GCF_024341395.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341505.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431565.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341705.1,Mycobacterium marinum,Mycobacterium marinum
GCF_014524945.1,Mycobacterium marinum,Mycobacterium pseudoshottsii
GCF_024341585.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341625.1,Mycobacterium marinum,Mycobacterium marinum
GCF_002355775.1,Mycobacterium marinum,Mycobacterium ulcerans subsp. shinshuense
GCF_000013925.1,Mycobacterium marinum,Mycobacterium ulcerans Agy99
GCF_003431575.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341545.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431805.1,Mycobacterium marinum,Mycobacterium marinum
GCF_022374915.2,Mycobacterium marinum,Mycobacterium ulcerans
GCF_002911515.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341685.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028594465.1,Mycobacterium marinum,Mycobacterium marinum
GCF_002249865.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341165.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028583325.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341455.1,Mycobacterium marinum,Mycobacterium marinum
GCF_019456695.2,Mycobacterium marinum,Mycobacterium shottsii
GCF_028451225.2,Mycobacterium marinum,Mycobacterium marinum
GCF_003431655.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341305.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431645.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431605.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341435.1,Mycobacterium marinum,Mycobacterium marinum
GCF_001870585.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_000026445.2,Mycobacterium marinum,Mycobacterium liflandii 128FXT
GCF_003391395.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341185.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431665.1,Mycobacterium marinum,Mycobacterium marinum
GCF_020616615.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_003431725.1,Mycobacterium marinum,Mycobacterium marinum
GCF_900683785.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_001515365.1,Mycobacterium marinum,Mycobacterium pseudoshottsii JCM 15466
GCF_024341375.1,Mycobacterium marinum,Mycobacterium marinum
GCF_000419315.1,Mycobacterium marinum,Mycobacterium marinum str. Europe
GCF_024341525.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341565.1,Mycobacterium marinum,Mycobacterium marinum
GCF_902506705.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_901411635.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_024341475.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341205.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341245.1,Mycobacterium marinum,Mycobacterium marinum
GCF_024341265.1,Mycobacterium marinum,Mycobacterium marinum
GCF_020150655.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_002911505.1,Mycobacterium marinum,Mycobacterium marinum
GCF_003431675.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028594505.1,Mycobacterium marinum,Mycobacterium marinum
GCF_028594405.1,Mycobacterium marinum,Mycobacterium marinum
GCF_900638745.1,Mycobacterium marinum,Mycobacterium ulcerans
GCF_003431585.1,Mycobacterium marinum,Mycobacterium marinum
GCF_030342225.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_010731675.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_025823125.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_002086345.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_020217515.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_007654935.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_010723675.1,Mycobacterium marseillense,Mycobacterium timonense
GCF_002285715.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_001673235.1,Mycobacterium marseillense,Mycobacterium marseillense
GCF_015910525.1,Mycobacterium mengxianglii,Mycolicibacterium mengxianglii
GCF_015710575.1,Mycobacterium mengxianglii,Mycolicibacterium mengxianglii
GCF_023515995.1,Mycobacterium methanotrophicum,Candidatus Mycobacterium methanotrophicum
GCF_910591625.1,Mycobacterium methanotrophicum,Candidatus Mycobacterium methanotrophicum
GCF_002086405.1,Mycobacterium minnesotense,Mycolicibacter minnesotensis
GCF_025821425.1,Mycobacterium minnesotense,Mycolicibacter minnesotensis
GCF_010731755.1,Mycobacterium minnesotense,Mycolicibacter minnesotensis
GCA_014194265.1,Mycobacterium monacense,Mycolicibacterium obuense
GCF_027886265.1,Mycobacterium monacense,Mycolicibacterium monacense DSM 44395
GCF_009931355.1,Mycobacterium monacense,Mycolicibacterium monacense DSM 44395
GCF_010731575.1,Mycobacterium monacense,Mycolicibacterium monacense
GCF_001667465.1,Mycobacterium monacense,Mycolicibacterium monacense
GCF_001665825.1,Mycobacterium monacense,Mycolicibacterium monacense
GCF_002086655.1,Mycobacterium monacense,Mycolicibacterium monacense DSM 44395
GCF_003112775.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024342025.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024342005.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024342045.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024341985.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024341965.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024342065.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024341945.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_026012615.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_024342085.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_025823255.1,Mycobacterium montefiorense,Mycobacterium montefiorense
GCF_002086395.1,Mycobacterium moriokaense,Mycolicibacterium moriokaense
GCF_010726085.1,Mycobacterium moriokaense,Mycolicibacterium moriokaense
GCF_025822185.1,Mycobacterium moriokaense,Mycolicibacterium moriokaense
GCF_003201655.1,Mycobacterium moriokaense_A,Mycolicibacterium moriokaense
GCA_003347205.1,Mycobacterium moriokaense_B,Mycolicibacterium moriokaense
GCF_001668705.1,Mycobacterium mucogenicum_B,Mycolicibacterium mucogenicum
GCF_005670685.2,Mycobacterium mucogenicum_B,Mycolicibacterium mucogenicum DSM 44124
GCF_900107555.1,Mycobacterium mucogenicum_B,Mycobacterium sp. 283mftsu
GCF_009192845.1,Mycobacterium mucogenicum_B,Mycolicibacterium mucogenicum DSM 44124
GCF_000686745.1,Mycobacterium mucogenicum_B,Mycobacterium sp. UNC410CL29Cvi84
GCF_001291445.1,Mycobacterium mucogenicum_B,Mycolicibacterium mucogenicum
GCF_000383495.1,Mycobacterium mucogenicum_B,Mycobacterium sp. 360MFTsu5.1
GCF_016185375.1,Mycobacterium nebraskense,Mycobacterium nebraskense
GCF_002102255.1,Mycobacterium nebraskense,Mycobacterium nebraskense
GCF_001021495.1,Mycobacterium nebraskense,Mycobacterium nebraskense
GCF_025821845.1,Mycobacterium nebraskense,Mycobacterium nebraskense
GCF_000970875.1,Mycobacterium nebraskense,Mycobacterium nebraskense
GCF_002591975.1,Mycobacterium neglectum,Mycobacterium neglectum
GCF_000724065.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCA_000744355.1,Mycobacterium neoaurum,Mycobacterium sp. UNCCL9
GCA_023428625.1,Mycobacterium neoaurum,Actinomycetes bacterium
GCF_018363015.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCF_005670605.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCF_000691525.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum ATCC 25795
GCF_900101555.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCA_023411105.1,Mycobacterium neoaurum,Actinomycetes bacterium
GCF_022559925.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCF_022559965.1,Mycobacterium neoaurum,Mycolicibacterium neoaurum
GCA_023452275.1,Mycobacterium neoaurum,Actinomycetes bacterium
GCA_001580405.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_001510785.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_027857015.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_000416385.1,Mycobacterium neoaurum_A,Mycobacterium sp. VKM Ac-1816D
GCF_006715585.1,Mycobacterium neoaurum_A,Arthrobacter sp. SLBN-53
GCF_000317305.3,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum VKM Ac-1815D
GCF_000959045.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_003367335.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_030518135.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCF_027627515.1,Mycobacterium neoaurum_A,Mycolicibacterium neoaurum
GCA_900637135.1,Mycobacterium neumannii,Mycolicibacterium flavescens
GCF_002245615.1,Mycobacterium neumannii,Mycobacterium neumannii
GCF_001665615.1,Mycobacterium neumannii,Mycobacterium sp. 852014-52144_SCH5372336
GCF_001667105.1,Mycobacterium neumannii,Mycobacterium sp. 852002-51152_SCH6134967
GCF_001245615.1,Mycobacterium neworleansense,Mycolicibacterium neworleansense
GCF_025823025.1,Mycobacterium neworleansense,Mycolicibacterium neworleansense
GCF_003855255.1,Mycobacterium nivoides,Mycolicibacterium nivoides
GCA_900110825.1,Mycobacterium nivoides,Mycobacterium sp. 88mf
GCA_900113075.1,Mycobacterium nivoides,Mycobacterium sp. 455mf
GCA_016919325.1,Mycobacterium nivoides,Mycolicibacterium boenickei
GCA_017052695.1,Mycobacterium nivoides,Mycolicibacterium septicum
GCA_001672655.1,Mycobacterium nonchromogenicum,Mycolicibacter heraklionensis
GCA_001953995.1,Mycobacterium nonchromogenicum,Mycolicibacter heraklionensis
GCF_002101775.1,Mycobacterium nonchromogenicum,Mycolicibacter nonchromogenicus
GCF_025821305.1,Mycobacterium noviomagense,Mycobacterium noviomagense
GCF_002086415.1,Mycobacterium noviomagense,Mycobacterium noviomagense
GCF_010731635.1,Mycobacterium noviomagense,Mycobacterium noviomagense
GCF_001499845.1,Mycobacterium novocastrense,Mycolicibacterium novocastrense
GCF_025822165.1,Mycobacterium novocastrense,Mycolicibacterium novocastrense
GCF_001499835.1,Mycobacterium novocastrense,Mycolicibacterium novocastrense
GCF_001499825.1,Mycobacterium novocastrense,Mycolicibacterium novocastrense
GCF_001570485.1,Mycobacterium novocastrense,Mycolicibacterium novocastrense
GCF_900157365.1,Mycobacterium numidiamassiliense,Mycobacterium numidiamassiliense
GCF_002705925.1,Mycobacterium ostraviense,Mycobacterium ostraviense
GCF_021183725.1,Mycobacterium ostraviense,Mycobacterium ostraviense
GCF_001632895.1,Mycobacterium ostraviense,Mycobacterium ostraviense
GCF_002592005.1,Mycobacterium palauense,Mycobacterium palauense
GCF_025821485.1,Mycobacterium palustre,Mycobacterium palustre
GCF_002101785.1,Mycobacterium palustre,Mycobacterium palustre
GCF_002102305.1,Mycobacterium paraense,Mycobacterium paraense
GCF_002101815.1,Mycobacterium paraense,Mycobacterium paraense
GCF_002101825.1,Mycobacterium paraense,Mycobacterium paraense
GCF_025823385.1,Mycobacterium paraense,Mycobacterium paraense
GCF_002102295.1,Mycobacterium paraense,Mycobacterium paraense
GCF_025822865.1,Mycobacterium paraffinicum,Mycobacterium paraffinicum
GCF_001665645.1,Mycobacterium paraffinicum,Mycobacterium sp. 852002-30065_SCH5024008
GCF_001665605.1,Mycobacterium paraffinicum,Mycobacterium sp. 852014-50255_SCH5639931
GCF_001907675.1,Mycobacterium paraffinicum_A,Mycobacterium paraffinicum
GCF_002086815.1,Mycobacterium parafortuitum,Mycolicibacterium parafortuitum
GCF_900417285.1,Mycobacterium parafortuitum,Mycolicibacterium parafortuitum
GCF_030755195.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCF_004359035.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCF_003614435.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCF_010723415.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCF_009733755.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCA_002786085.1,Mycobacterium paragordonae,Mycobacterium sp.
GCF_004359025.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCA_001673255.1,Mycobacterium paragordonae,Mycobacterium gordonae
GCA_001673475.1,Mycobacterium paragordonae,Mycobacterium gordonae
GCF_004359015.1,Mycobacterium paragordonae,Mycobacterium paragordonae
GCF_022370835.2,Mycobacterium parakoreense,Mycolicibacillus parakoreensis
GCF_025822825.1,Mycobacterium parakoreense,Mycolicibacillus parakoreensis
GCF_001686745.1,Mycobacterium parascrofulaceum,Mycobacterium malmoense
